pageNumber,jobId,title,companyName,groupId,companyId,isTopGroup,tagsAndSkills,jobDescription,location,salaryLabel,currency,minimumSalary,maximumSalary,hideSalary,variablePercentage,minSalaryPerMonth,maxSalaryPerMonth,experienceText,minimumExperience,maximumExperience,footerPlaceholderLabel,createdDateISO,createdDateRaw,mode,board,vacancy,jobType,walkinJob,walkin_contactName,walkin_contactPhone,walkin_dailyTiming,walkin_venueAddress,walkin_startDate,walkin_endDate,companyApplyJob,companyApplyUrl,applyRedirectUrl,applyByTime,jdURL,staticUrl,ambitionBoxUrl,ambitionBoxReviewsCount,ambitionBoxRating,roleCategoryGid,todaysJob,jobAgentEligle,consultant,hiringFor,hideClientName,clientTitleString,brandedJDTemplateId,questionnaireIdPresent,exclusive,diversityTagText,logoPath,skillList
2,170926504645,Technical Architect - Open source ampersand Gen AI,Aspire Systems,499788,1593392,0,"Technical Architect,Application support,Production support,Data modeling,MySQL,Presales,Open source,ASP","Technical Architect - Open source & Gen AI . Work Mode: Hybrid . Job Type: Full Time <br><br> Own end-to-end solution architecture for client engagements - from requirement analysis and technical proposals through design,build,and production support<br><br>Required Skills <br><br> Backend: Strong hands-on experience with Node.js and Python","Kochi, Chennai",Not disclosed,INR,0,0,True,0,0.0,0.0,14-18 Yrs,14.0,18.0,1 Day Ago,2026-09-17T11:59:06.000Z,1789646346000.0,crawled,1,,,False,,,,,,,True,https://www.naukri.com/cloudgateway-apply/apply-services/v0/apply/saveCompanyApply?id=&file=170926504645&logstr=srprestapi,https://www.aspiresys.com/openings/asp-004-0926,9:29 PM,https://www.naukri.com/job-listings-technical-architect-open-source-ampersand-gen-ai-aspire-systems-kochi-chennai-14-to-18-years-170926504645,aspire-systems-jobs-careers-34356,https://www.ambitionbox.com/reviews/aspire-systems-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,1115.0,3.7,1028.0,False,False,,,,,6941.0,False,,,https://img.naukimg.com/logo_images/groups/v1/499788.gif,"['Technical Architect', 'Application support', 'Production support', 'Data modeling', 'MySQL', 'Presales', 'Open source', 'ASP']"
2,170926503576,GEN AI Solution Architect,Devlats,10401156,125576874,0,"Solution architecture,orchestration,Scalability,Cloud,Technical leadership,Manager Technology,microsoft azure,Solution Architect","Required Skills & Qualifications<br><br>Preferred Qualifications<br><br>Job Summary. Role Overview - Looking for an AI Solution Architect with strong experience in Generative AI and Azure AI Foundry to design and deliver scalable,secure,and enterprise-grade AI solutions.  <br><br>Experience implementing enterprise-grade Generative AI solutions on Microsoft Azure.",Hyderabad,Not disclosed,INR,0,0,True,0,0.0,0.0,15-20 Yrs,15.0,20.0,1 Day Ago,2026-09-17T11:41:34.000Z,1789645294000.0,crawled,1,,,False,,,,,,,True,https://www.naukri.com/cloudgateway-apply/apply-services/v0/apply/saveCompanyApply?id=&file=170926503576&logstr=srprestapi,https://careers.devlats.com/job-details/J278,9:11 PM,https://www.naukri.com/job-listings-gen-ai-solution-architect-devlats-hyderabad-15-to-20-years-170926503576,devlats-jobs-careers-124102978,https://www.ambitionbox.com/reviews/devmatics-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,2.0,4.4,1028.0,False,False,,,,,,False,,,https://img.naukimg.com/logo_images/groups/v1/10401156.gif,"['Solution architecture', 'orchestration', 'Scalability', 'Cloud', 'Technical leadership', 'Manager Technology', 'microsoft azure', 'Solution Architect']"
5,160926500471,Gen AI Lead,Aspire Systems,499788,1593392,0,"emerging technologies,ai,code quality,banking,ai certification,ai engineer,cloud,angular","India . Full Time . Work Mode: WFO 5 Days <br><br> Gen AI Certification . Scrum Agile Methodology <br><br>Required Qualifications <br><br>Experience building internal developer platforms or AI platforms<br><br>Experience with evaluation frameworks (offline / online evals,golden datasets)<br><br> . Good to Have",Chennai,Not disclosed,INR,0,0,True,0,0.0,0.0,12-15 Yrs,12.0,15.0,1 Day Ago,2026-09-16T09:25:10.000Z,1789550710000.0,crawled,1,,,False,,,,,,,True,https://www.naukri.com/cloudgateway-apply/apply-services/v0/apply/saveCompanyApply?id=&file=160926500471&logstr=srprestapi,https://www.aspiresys.com/openings/asp-003-0826,6:55 PM,https://www.naukri.com/job-listings-gen-ai-lead-aspire-systems-chennai-12-to-15-years-160926500471,aspire-systems-jobs-careers-34356,https://www.ambitionbox.com/reviews/aspire-systems-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,1115.0,3.7,1028.0,False,False,,,,,6941.0,False,,,https://img.naukimg.com/logo_images/groups/v1/499788.gif,"['emerging technologies', 'ai', 'code quality', 'banking', 'ai certification', 'ai engineer', 'cloud', 'angular']"
5,160926042031,Java /Python Developer with Gen or Agentic AI,Cognizant,4156,2114,0,"Agentic Ai,Java,generative ai,Python,Artificial Intelligence,Development,Gen","<p> </p><p><strong>About the Role:</strong></p><p><br /> Senior technical leader designing enterprise-scale AI systems behind most complex client transformations. Owns AI delivery architecture across pods, accounts, and sectors, and sets responsible-AI standards enterprise-wide.</p><br /><p><strong>Key Responsibilities</strong></p><ul><li>Design AI-native enterprise architectures; define human-agent capability matrices for delivery programs</li><li>Author guardrail specifications and boundary documentation for agentic systems at scale</li><li>Lead client architecture review workshops; produce context-pipeline blueprints</li><li>Govern ADLC adoption and define standards for AI-generated code quality</li><li>Architect responsible-AI frameworks  bias detection, explainability, audit-trail design</li><li>Design regulated AI decisioning systems with compliance controls</li></ul><p><strong>Required Skills:</strong></p><p>Python or Java Developer<br /> AI-native enterprise architecture, guardrail & responsible-AI framework design, context-pipeline architecture, ADLC delivery governance, cross-platform AI integration, AIOps orchestration, frontier-model evaluation & red-teaming, human-agent capability modeling.</p>","Hybrid - Hyderabad, Chennai, Bengaluru",Not disclosed,INR,0,0,True,0,0.0,0.0,13-23 Yrs,13.0,23.0,1 Day Ago,2026-09-16T12:06:15.783Z,1789560375783.0,jp,1,20.0,,False,,,,,,,False,,,9:36 PM,https://www.naukri.com/job-listings-java-python-developer-with-gen-or-agentic-ai-cognizant-hyderabad-chennai-bengaluru-13-to-23-years-160926042031,cognizant-jobs-careers-2114,https://www.ambitionbox.com/reviews/cognizant-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,65208.0,3.7,1028.0,False,True,,,,,8927.0,True,,,https://img.naukimg.com/logo_images/groups/v1/4156.gif,"['Agentic Ai', 'Java', 'generative ai', 'Python', 'Artificial Intelligence', 'Development', 'Gen']"
5,160926035539,"Solution Architect, Cloud, Microservices, Gen AI, RFP",Cognizant,4156,2114,0,"Solution Architecting,Azure Cloud,RFP,AWS,Cloud,Microservices,Architecting,Artificial Intelligence","Required Skills & Experience Core Experience 8+ years of experience in solution architecture,ideally within regulated industries such as financial services,insurance,or risk intensive environments<br><br>Proven experience architecting large scale,multi program platforms across complex portfolios<br><br>Experience designing data centric architectures,enterprise integrations,and analytics platforms","Hybrid - Hyderabad, Chennai, Bengaluru",Not disclosed,INR,0,0,True,0,0.0,0.0,12-18 Yrs,12.0,18.0,1 Day Ago,2026-09-16T12:31:45.950Z,1789561905950.0,jp,1,,,False,,,,,,,False,,,10:01 PM,https://www.naukri.com/job-listings-solution-architect-cloud-microservices-gen-ai-rfp-cognizant-hyderabad-chennai-bengaluru-12-to-18-years-160926035539,cognizant-jobs-careers-2114,https://www.ambitionbox.com/reviews/cognizant-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,65208.0,3.7,1028.0,False,True,,,,,8927.0,True,,,https://img.naukimg.com/logo_images/groups/v1/4156.gif,"['Solution Architecting', 'Azure Cloud', 'RFP', 'AWS', 'Cloud', 'Microservices', 'Architecting', 'Artificial Intelligence']"
8,140926915258,Head Gen AI Architect,Capgemini,1288,7053,0,"Data Science,Predictive Modeling,Artificial Intelligence,Natural Language Processing,Neural Networks,Data Mining,Data,Tableau","<div> <div> <div> <br /><br /><b>Job Description</b> <br /><br />Develop and implement a set of techniques or analytics applications to transform raw data into meaningful information using data-oriented programming languages and visualization software. Apply data mining, data modeling, natural language processing, and machine learning to extract and analyze information from large structured and unstructured datasets. Visualize, interpret, and report data findings. May create dynamic data reports.</div> <br /><div> <br /><br /><b>Job Description - Grade Specific</b> <br /><br />The role combines advanced technical expertise in data science with consulting skills to provide strategic guidance and solutions to clients.</div> </div> </div>",Bengaluru,Not disclosed,INR,0,0,True,0,0.0,0.0,11-12 Yrs,11.0,12.0,3 Days Ago,2026-09-14T10:38:36.739Z,1789382316739.0,jp,1,,,False,,,,,,,False,,,8:08 PM,https://www.naukri.com/job-listings-head-gen-ai-architect-capgemini-technology-services-india-limited-bengaluru-11-to-12-years-140926915258,capgemini-jobs-careers-649,https://www.ambitionbox.com/reviews/capgemini-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,57277.0,3.6,1025.0,False,True,,,,,,False,,,https://img.naukimg.com/logo_images/groups/v1/1288.gif,"['Data Science', 'Predictive Modeling', 'Artificial Intelligence', 'Natural Language Processing', 'Neural Networks', 'Data Mining', 'Data', 'Tableau']"
8,140926502101,"Gen AI GCP Architect - Senior Manager- Bangalore, Gurgaon, Hyderabad",EY,243080,1127058,0,"Solution architecture,Architect,Automation,Assurance,Usage,Consulting,Workflow,Operations","Mandatory Skills. 14+ years of experience in software engineering,solution architecture,or AI platform design. 5 years of GCP . Strong expertise in Python Object-Oriented Programming. <br><br>Join us and build an exceptional experience for yourself,and a better working world for all. .",Kolkata,Not disclosed,INR,0,0,True,0,0.0,0.0,14-19 Yrs,14.0,19.0,3 Days Ago,2026-09-14T10:33:34.000Z,1789382014000.0,crawled,1,,,False,,,,,,,True,https://www.naukri.com/cloudgateway-apply/apply-services/v0/apply/saveCompanyApply?id=&file=140926502101&logstr=srprestapi,https://careers.ey.com/ey/job/Kolkata-Gen-AI-GCP-Architect-Senior-Manager-Bangalore%2C-Gurgaon%2C-Hyderabad-WB-700091/1414176633/,8:03 PM,https://www.naukri.com/job-listings-gen-ai-gcp-architect-senior-manager-bangalore-gurgaon-hyderabad-ernst-young-kolkata-14-to-19-years-140926502101,ey-jobs-careers-9156,https://www.ambitionbox.com/reviews/ernst-young-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,15867.0,3.4,1028.0,False,False,,,,,6182.0,False,,,https://img.naukimg.com/logo_images/groups/v1/243080.gif,"['Solution architecture', 'Architect', 'Automation', 'Assurance', 'Usage', 'Consulting', 'Workflow', 'Operations']"
8,140926021928,Opening For - Gen AI with AWS,SP Staffing,4744807,37905,0,"GenAI,AI/ml,AI ML,RAG,Data scientist,S3,Agentic,scikit-learn",Required Skill set :  . <br><br>Minimum 2 years hands on experience in Gen AI with AWS . <br><br>Experience : 10-20 yrs . .,Pan India,Not disclosed,INR,0,0,True,10,0.0,0.0,11-21 Yrs,11.0,21.0,3 Days Ago,2026-09-14T15:39:05.149Z,1789400345149.0,jp,1,15.0,,False,,,,,,,False,,,1:09 AM,https://www.naukri.com/job-listings-opening-for-gen-ai-with-aws-sp-staffing-pan-india-11-to-21-years-140926021928,sp-staffing-jobs-careers-37905,,,,1019.0,False,True,True,India's Largest IT Service Provider,False,India's Largest IT Service Provider,,False,,,https://img.naukimg.com/logo_images/groups/v1/4744807.gif,"['GenAI', 'AI/ml', 'AI ML', 'RAG', 'Data scientist', 'S3', 'Agentic', 'scikit-learn']"
10,130726037266,Gen AI Manager,Qualizeal India,6756529,6390860,0,"generative ai,Langchain,Retrieval Augmented Generation,langgrpah,Artificial Intelligence,Management,Gen,Generation",Preferred candidate profile,Hyderabad,Not disclosed,INR,0,0,True,0,0.0,0.0,14-21 Yrs,14.0,21.0,10 Days Ago,2026-09-07T08:37:37.226Z,1788770257226.0,jp,1,5.0,,False,,,,,,,False,,,6:07 PM,https://www.naukri.com/job-listings-gen-ai-manager-qualizeal-india-hyderabad-14-to-21-years-130726037266,qualizeal-india-jobs-careers-6390860,https://www.ambitionbox.com/reviews/qualizeal-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,252.0,3.9,1028.0,False,True,,,,,,True,,,https://img.naukimg.com/logo_images/groups/v1/6756529.gif,"['generative ai', 'Langchain', 'Retrieval Augmented Generation', 'langgrpah', 'Artificial Intelligence', 'Management', 'Gen', 'Generation']"
13,80926009997,Gen AI Architect,Tredence,1713408,1360722,0,"Data Science,Architect,RAG,gen AI,LLM,Python,Science,Artificial Intelligence","Qualifications:  . Bachelors or masters degree or PhD in computer science,data science,or a related field<br><br>Relevant certifications (e.g.,AWS Certified Solutions Architect,Microsoft Certified: Azure Solutions Architect) a plus<br><br>Proven experience as a Data Science Solution Architect,technical lead or a similar role in the AI domain","Hybrid - Pune, Gurugram, Bengaluru",Not disclosed,INR,0,0,True,0,0.0,0.0,11-18 Yrs,11.0,18.0,10 Days Ago,2026-09-08T05:29:33.215Z,1788845373215.0,jp,1,,,False,,,,,,,False,,,2:59 PM,https://www.naukri.com/job-listings-gen-ai-architect-tredence-pune-gurugram-bengaluru-11-to-18-years-080926009997,tredence-jobs-careers-1360722,https://www.ambitionbox.com/reviews/tredence-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,804.0,3.3,1019.0,False,True,,,,,8242.0,True,,,https://img.naukimg.com/logo_images/groups/v1/1713408.gif,"['Data Science', 'Architect', 'RAG', 'gen AI', 'LLM', 'Python', 'Science', 'Artificial Intelligence']"
